Table: prereq
course prereq 
DET255 DET220 
DET260 DET220 
DET315 DET255 

Table: section_course
courseID sectionID 
DET255 10111 
DET260 10112 
DET315 10113 

Table: college
id name 
COAHS College of Arts, Humanities and Social Sciences 
COSAE College of Science and Engineering 
COBS College of Biblical Studies 
COBA College of Business Administration 
COHABS College of Health and Behavioral Sciences 
COHAHS College of Health and Human Services 
COLAPS College of Leadership and Professional Studies 
CON College of Nursing 
COH College of Honors 
COLAD College of Learning and Development 

Table: student
144 Stu144 Student144 
145 Stu145 Student145 
146 Stu146 Student146 
147 Stu147 Student147 
148 Stu148 Student148 
149 Stu149 Student149 
150 Stu150 Student150 
151 Caden Finley 

Table: department
id name collegeID 
AES Agricultural and Environmental Sciences COSAE 
ART Art and Design COAHS 
BIO Biology COSAE 
CHEM Chemistry and Biochemistry COSAE 
COMS Communication and Sociology COAHS 
ENGP Engineering and Physics COSAE 
HGS History and Global Studies COAHS 
JMC Journalism and Mass Communication COAHS 
LL Language and Literature COAHS 
LA Liberal Arts COAHS 
MATH Mathematics COSAE 
MUS Music COAHS 
PSCJ Political Science and Criminal Justice COAHS 
PSY Psychology COHABS 
THEA Theatre COAHS 
BMM Bible, Missions and Ministry COBS 
MFS Marriage and Family Studies COBS 
GST Graduate School of Theology COBS 
ACF Accounting and Finance COBA 
MGS Management Sciences COBA 
SITC School of Information Technology and Computing COBA 
CSD Communication Sciences and Disorders COHABS 
KIN Kinesiology and Nutrition COHABS 
OT Occupational Therapy COHABS 
SSW School of Social Work COHABS 
TED Teacher Education COHAHS 
SEL School of Educational Leadership COLAPS 
SHHS School of Health and Human Services COHAHS 
SPS School of Professional Studies COLAPS 
NUR School of Nursing CON 
IDM Interdisciplinary Degrees and Majors IDK 
HON Honors College COH 

Table: course
id department title num hrs 
ACCT210 ACCT Financial Accounting 210 3 
ACCT302 ACCT Cost Accounting 1 302 3 
ACCT304 ACCT Income Tax 1 304 3 
ACCT310 ACCT Intermediate Accounting 1 310 3 
ACCT311 ACCT Intermediate Accounting 2 311 3 
ACCT324 ACCT Accounting Information Systems 324 3 
ACCT405 ACCT Fundamentals of Auditing 405 3 
ACCT410 ACCT Advanced Accounting 1 410 3 
ACCT499 ACCT Accounting Internship 499 3 
ART105 ART Two-Dimensional Design 105 3 
ART106 ART Three-Dimensional Design 106 3 
ART111 ART Basic Drawing 111 3 
ART112 ART Figure Drawing I 112 3 
ART222 ART Art History: General Survey II 222 3 
ART317 ART Introduction to Illustration 317 3 
ART318 ART Digital Illustration 318 3 
ART351 ART Typography I 351 3 
BGRK221 BGRK New Testament Greek for Beginners I 221 3 
BGRK222 BGRK New Testament Greek for Beginners II 222 3 
BGRK331 BGRK Elementary Greek Readings I 331 3 
BGRK332 BGRK Elementary Greek Readings II 332 3 
BGRK441 BGRK Exegetical Greek Seminar I 441 3 
BGRK442 BGRK Exegetical Greek Seminar II 442 3 
BHEB472 BHEB Introduction to Hebrew II 472 3 
BIBH383 BIBH Restoration History 383 3 
BIBL320 BIBL Introduction to Biblical Interpretation 320 3 
BIBL365 BIBL General Epistles 365 3 
BIBL367 BIBL The Book of Acts 367 3 
BIBL451 BIBL The Pentateuch 451 3 
BIBL452 BIBL Historical Books of the Old Testament 452 3 
BIBL453 BIBL The Devotional and Wisdom Literature of the Old Testament 453 3 
BIBL454 BIBL The Prophetic Literature of the Old Testament 454 3 
BIBL458 BIBL The Synoptic Gospels 458 3 
BIBL460 BIBL Galatians and Romans 460 3 
BIBL461 BIBL The Corinthian Letters 461 3 
BIBL466 BIBL Book of Revelation 466 3 
BIBM391 BIBM Ministry in Context 391 3 
BIBM429 BIBM Field Education 429 2 
BIBM491 BIBM Senior Capstone Experience 491 1 
BIBM493 BIBM Preaching 493 3 
BIBP380 BIBP Introduction to Philosophy 380 3 
BIBP478 BIBP Philosophy of Religion 478 3 
BIBP486 BIBP Ethics 486 3 
BIBP487 BIBP History of Ancient and Medieval Philosophy 487 3 
BIBP489 BIBP History of Modern Philosophy 489 3 
BIBT332 BIBT Religious Teachings of C.S. Lewis 332 3 
BIBT342 BIBT Christianity in Culture 342 3 
BIBT370 BIBT the church 370 3 
BIBT379 BIBT The Church 379 3 
BIBT401 BIBT christian leadership 401 3 
BIBT403 BIBT christian worship 403 3 
BIBT439 BIBT Teaching and Learning for Spiritual Formation 439 3 
BIBT480 BIBT arts and culture: a christian aesthetic 480 3 
BIBT491 BIBT Theology 491 3 
BIOL101 BIOL Biology - Human Perspective 101 3 
BIOL121 BIOL Introductory Biology I 121 3 
BIOL122 BIOL Introductory Biology I Laboratory 122 1 
BIOL123 BIOL Introductory Biology II 123 3 
BIOL124 BIOL Introductory Biology II Laboratory 124 1 
BIOL312 BIOL Cell Biology 312 3 
BLAW363 BLAW Introduction to Business Law and Ethics 363 3 
BLAW365 BLAW Law and Entrepreneurship 365 3 
BLAW461 BLAW Business Law II 461 3 
BMIS270 BMIS Living the Mission 270 3 
BMIS345 BMIS Understanding Culture for Global Service 345 3 
BMIS371 BMIS Religion in Global Contexts 371 3 
BMIS420 BMIS Gospel in a Multicultural World 420 3 
BMIS421 BMIS Mission as Spiritual Formation 421 3 
BUBH380 BUBH Survey of Church History 380 3 
BUSA120 BUSA Introduction to Business 120 3 
BUSA419 BUSA International Business 419 3 
BUSA435 BUSA Christian Business Leadership Perspectives 435 3 
CHEM114 CHEM Introductory Organic and Biological Chemistry 114 3 
CHEM131 CHEM General Chemistry Laboratory I 131 1 
CHEM132 CHEM General Chemistry Laboratory II 132 1 
CHEM133 CHEM General Chemistry I 133 3 
CHEM134 CHEM General Chemistry II 134 3 
CHEM221 CHEM Organic Chemistry Laboratory I 221 1 
CHEM223 CHEM Organic Chemistry I 223 3 
CHEM322 CHEM Organic Chemistry Laboratory II 322 1 
CHEM324 CHEM Organic Chemistry II 324 3 
CHEM333 CHEM Physical Chemistry I 333 4 
CHEM334 CHEM Physical Chemistry II 334 4 
CHEM335 CHEM Analytical Chemistry I 335 4 
CHEM356 CHEM Analytical Chemistry II 356 4 
CHEM423 CHEM Chemistry and Biochemistry Seminar 423 3 
CHEM443 CHEM Inorganic Chemistry 443 3 
CHEM453 CHEM Biochemistry I: Foundations of Biochemistry 453 3 
CHEM454 CHEM Biochemistry II: Gene Expression 454 3 
CHEM456 CHEM Biochemistry III: Metabolism 456 2 
CHEM463 CHEM Biochemistry Laboratory I 463 1 
CRIM205 CRIM Introduction to Criminal Justice 205 3 
CRIM250 CRIM Police Systems and Practices 250 3 
CRIM320 CRIM Criminal Law 320 3 
CRIM330 CRIM Domestic Violence 330 3 
CRIM350 CRIM Corrections: Prison, Probation, and Parole 350 3 
CRIM365 CRIM Search and Seizure 365 3 
CRIM370 CRIM Forensic Evidence 370 3 
CRIM420 CRIM Law Enforcement Leadership 420 3 
CRIM430 CRIM Evidence and Procedure 430 3 
CRIM455 CRIM Professionalism and Ethics in Criminal Justice 455 3 
CRIM499 CRIM Criminal Justice Intership 499 3 
CS115 CS Introduction to Programming Using Scripting 115 3 
CS116 CS Scripting for Analytics 116 3 
CS120 CS Programing I 120 3 
CS130 CS Programing II 130 3 
CS230 CS Object-Oriented Programing 230 3 
CS315 CS Mobile Application Development 315 3 
CS316 CS Mobile Game Development 316 3 
CS330 CS Human-Computer Inter 330 3 
CS332 CS Design and Analysis 332 3 
CS352 CS Programing Languages 352 3 
CS356 CS Operating Systems 356 3 
CS374 CS Software Engineering 374 3 
CS375 CS Software Engineering II 375 3 
CS467 CS Introduction to Artificial Intelligence 467 3 
DET210 DET Introduction to Digital Entertainment 210 3 
DET220 DET Introduction to 3D Modeling 220 3 
DET230 DET Introduction to Animation: Keyframes & Pixels 230 3 
DET255 DET Game Textures 255 3 
DET260 DET Game Engines 260 3 
DET310 DET Digital Entertainment Technology II 310 3 
DET315 DET Game Materials 315 3 
DET320 DET Advanced 3D Modeling 320 3 
DET330 DET 3D Animation: Keyframes and Pixels 330 3 
DET350 DET Digital Entertainment Development 350 3 
DET360 DET AR/VR Development 360 3 
DET365 DET Virtual Production 365 3 
DET370 DET Serious Games 370 3 
DET410 DET Digital Entertainment Technology III 410 3 
DSGN102 DSGN Introduction to Interior Design 102 3 
DSGN111 DSGN Design Drawing I 111 3 
DSGN201 DSGN Fundamental Design I 201 3 
DSGN202 DSGN Fundamental Design II 202 3 
DSGN211 DSGN Design Drawing II 211 3 
DSGN221 DSGN History of Architecture and Design I 221 3 
DSGN222 DSGN History of Architecture and Design II 222 3 
DSGN232 DSGN Digital Design Communication 232 3 
DSGN301 DSGN Intermediate Interior Design I 301 3 
DSGN302 DSGN Intermediate Interior Design II 302 3 
DSGN351 DSGN Interior Components 351 3 
DSGN352 DSGN Building Systems 352 3 
DSGN401 DSGN Advanced Interior Design 401 3 
DSGN402 DSGN Design, Construction and Details for Interiors 402 3 
DSGN461 DSGN Professional Principles and Practices (for Design Practitioners) 461 3 
DSGN463 DSGN Field Experience 463 3 
ECON260 ECON Principles of Macroeconomics 260 3 
ECON261 ECON Principles of Microeconomics 261 3 
ECON312 ECON Game Theory 312 3 
ECON438 ECON International Poverty and Development 438 3 
ECON463 ECON Managerial Economics 463 3 
ENGL301 ENGL Introduction to English Studies 301 3 
ENGL311 ENGL Literary Theory and Criticism 311 3 
ENGL320 ENGL Creative Nonfiction Workshop 320 3 
ENGL321 ENGL Screenwriting 321 3 
ENGL322 ENGL Fiction Workshop 322 3 
ENGL323 ENGL Poetry Workshop 323 3 
ENGL324 ENGL Play Writing Workshop 324 3 
ENGL325 ENGL Advanced Composition 325 3 
ENGL326 ENGL Business and Professional Writing 326 3 
ENGL327 ENGL Scientific and Technical Writing 327 3 
ENGL328 ENGL Social Justice: A Rhetoric 328 3 
ENGL329 ENGL Rhetoric as Written Discourse 329 3 
ENGL330 ENGL Advanced English Grammar 330 3 
ENGL331 ENGL Narrative for Film and New Media 331 3 
ENGL332 ENGL Introduction to Film Studies 332 3 
ENGL333 ENGL Studies in World Cinema 333 3 
ENGL351 ENGL Literature for Young Adults 351 3 
ENGL362 ENGL American Literature Before 1860 362 3 
ENGL363 ENGL American Literature After 1860 363 3 
ENGL376 ENGL Fiction 376 3 
ENGL377 ENGL Drama 377 3 
ENGL378 ENGL Poetry 378 3 
ENGL380 ENGL Interactive Narratives 380 3 
ENGL410 ENGL Language and Literature Internship 410 3 
ENGL432 ENGL Introduction to Linguistics 432 3 
ENGL441 ENGL Topics in Literary Criticism and Bibliography 441 3 
ENGL443 ENGL Topics in the English Language 443 3 
ENGL446 ENGL Topics in American Literature 446 3 
ENGL447 ENGL Topics in General Literature 447 3 
ENGL448 ENGL Topics in British Literature Before 1700 448 3 
ENGL449 ENGL Topics in British Literature After 1700 449 3 
ENGL459 ENGL English for Secondary Teachers 459 3 
ENGL464 ENGL American Novel 464 3 
ENGL470 ENGL Multicultural Literature 470 3 
ENGL471 ENGL Literature and Belief 471 3 
ENGL472 ENGL Film and Belief 472 3 
ENGL473 ENGL Rhetoric and Belief 473 3 
ENGL481 ENGL Medieval British Literature 481 3 
ENGL483 ENGL Shakespeare 483 3 
ENGL484 ENGL Seventeenth-Century British Literature 484 3 
ENGL495 ENGL Eighteenth-Century British Literature 495 3 
ENGL496 ENGL Nineteenth-Century British Literature 496 3 
ENGL497 ENGL Twentieth-Century British Literature 497 3 
ENGL499 ENGL Studies in World Literature 499 3 
ENGR115 ENGR Introduction to Engineering and Physics 115 1 
ENGR116 ENGR Introduction to Engineering and Physics Laboratory 116 1 
ENGR117 ENGR Computational Tools for Engineering and Physics 117 1 
ENGR131 ENGR Computer Aided Design and Modeling 131 1 
ENGR135 ENGR Introduction to Electric Circuits 135 3 
ENGR136 ENGR Introduction to Electric Circuits Laboratory 136 1 
ENGR210 ENGR Digital Logic 210 3 
ENGR217 ENGR Engineering Career Skills 217 1 
ENGR221 ENGR Statics and Dynamics 221 4 
ENGR281 ENGR Engineering Thermodynamics 281 3 
ENGR306 ENGR Engineering Ethics 306 1 
ENGR317 ENGR Engineering Project Management 317 1 
ENGR333 ENGR Fluid Mechanics 333 3 
ENGR350 ENGR Engineering Economics 350 3 
ENGR355 ENGR Electronic Devices 355 3 
ENGR356 ENGR Electronic Devices Laboratory 356 1 
ENGR360 ENGR Electricity and Magnetism 360 3 
ENGR377 ENGR Statistics for Engineers 377 3 
ENGR387 ENGR Power Electronics and Electromechanics 387 3 
ENGR388 ENGR Network Analysis 388 3 
ENGR390 ENGR Junior Clinic 390 3 
ENGR410 ENGR Signal Processing 410 3 
ENGR422 ENGR Embedded Systems 422 3 
ENGR423 ENGR Embedded Systems Laboratory 423 1 
ENGR430 ENGR Senior Clinic I 430 3 
ENGR432 ENGR Senior Clinic II 432 3 
ENTR120 ENTR Foundations of Entrepreneurship 120 3 
ENTR305 ENTR Entrepreneurial Mindset 305 3 
ENTR315 ENTR Business Models 315 3 
ENTR325 ENTR Raising Capital 325 3 
ENTR335 ENTR Building Startup Teams 335 3 
ENTR410 ENTR Social Entrepreneurship 410 3 
ENTR411 ENTR Entrepreneurial Venture Management 411 3 
ENTR412 ENTR Launching the Venture 412 3 
ENTR419 ENTR Global Entrepreneur 419 3 
ENTR420 ENTR Entrepreneurial Journey 420 3 
ENTR430 ENTR Topics in Entrepreneurship 430 3 
FIN310 FIN Financial Managment 310 3 
FIN499 FIN Finance Internship 499 3 
FLLA221 FLLA Intermediate Latin I 221 3 
FLLA222 FLLA Intermediate Latin II 222 3 
FREN221 FREN Intermediate French I 221 3 
FREN222 FREN Intermediate French II 222 3 
GER221 GER Intermediate German I 221 3 
GER222 GER Intermediate German II 222 3 
GOVT225 GOVT National Government 225 3 
GOVT315 GOVT Government and Criminal Justice Research Methods 315 3 
GOVT384 GOVT American Judicial Process 384 3 
GOVT432 GOVT Constitutional Law: Civil Rights 432 3 
GOVT487 GOVT Terrorism Studies 487 3 
IS222 IS Analytics 1: Statistics 222 3 
IS324 IS Management Information Systems 324 3 
IS330 IS Business Geographic Information Systems 330 3 
IS405 IS Systems Analysis and Design 405 3 
IS410 IS Enterprise Resource Planning 410 3 
IS415 IS E-Commerce 415 3 
IS430 IS Management of Information and Technology Resources 430 3 
IS432 IS Analytics 3: Data Mining 432 3 
IS442 IS Analytics 4: Business Analytics Projects 442 3 
IS499 IS Information Systems Internship 499 3 
IS524 IS Management Information Systems 524 3 
IS605 IS Systems Analysis and Design 605 3 
IT220 IT Introduction to Databases and Database Management 220 3 
IT221 IT Fundamentals of Networking and Data Communications 221 3 
IT263 IT Analytics 2: Data Management and Visualization 263 3 
IT310 IT Introduction to Computer and Information Security 310 3 
IT325 IT Web Application Development 325 3 
IT330 IT Analytics 2: Data Managment and Visualization 330 3 
ITC110 ITC Introduction to Information, Technology, and Computing 110 3 
ITC125 ITC Introduction to Human-Computer Interaction 125 3 
ITC399 ITC ITC Research 399 3 
ITC480 ITC Reflections on Faith and Work Credit Hours 480 3 
ITC499 ITC Information, Technology, and Computing Internship 499 3 
JMC165 JMC Media Maker I 165 3 
JMC166 JMC Media Maker II 166 3 
JMC224 JMC Media writing 224 3 
JMC233 JMC Photography 233 3 
JMC261 JMC Television Production 261 3 
JMC265 JMC Film Production 265 3 
JMC302 JMC Introduction to Race and Media 302 1 
JMC303 JMC Colloquium in Race and Media 303 1 
JMC321 JMC Student Media Lab(One semester required) 321 0 
JMC338 JMC Broadcast News and Sport 338 3 
JMC342 JMC Communication Design 342 3 
JMC351 JMC Web Publishing 351 3 
JMC352 JMC Advanced Web Publishing 352 3 
JMC355 JMC Media Technology 355 3 
JMC361 JMC Advanced Media Production 361 3 
JMC364 JMC Media and Religion 364 3 
JMC365 JMC Film Practicum 365 3 
JMC367 JMC Social Media 367 3 
JMC390 JMC Advertising Creativity and Copy writing 390 3 
JMC405 JMC Visual Portfolio 405 3 
JMC421 JMC Promotional Video Practicum 421 3 
JMC465 JMC Documentary Practicum 465 3 
JMC488 JMC Communication Law 488 3 
JMC495 JMC JMC Internship (Capstone course) 495 1 
MATH130 MATH Finite Math for Applications 130 3 
MATH131 MATH Calculus for Application 131 3 
MATH185 MATH Calculus I 185 3 
MATH186 MATH Calculus II 186 3 
MATH187 MATH Calculus Computer Laboratory 187 1 
MATH227 MATH Discrete Mathematics 227 3 
MATH286 MATH Calculus III 286 3 
MATH325 MATH Linear Algebra 325 3 
MATH334 MATH Linear Programming 334 3 
MATH341 MATH Numerical Methods 341 3 
MATH351 MATH Abstract Algebra I 351 3 
MATH361 MATH Ordinary Differential Equations 361 4 
MATH377 MATH Statistical Methods I 377 3 
MATH432 MATH Introduction to Operations Research 432 3 
MATH463 MATH Partial Differential Equations 463 3 
MGMT305 MGMT Foundations of Entrepreneurship 305 3 
MGMT312 MGMT Game Theory 312 3 
MGMT320 MGMT Management and Organizational Behavior 320 3 
MGMT322 MGMT Business and Sustainability 322 3 
MGMT330 MGMT Management and Organizational Behavior 330 3 
MGMT331 MGMT Operations Management 331 3 
MGMT332 MGMT Human Resource Management 332 3 
MGMT335 MGMT Leadership in Organizations 335 3 
MGMT337 MGMT Safety, Health and Security 337 3 
MGMT342 MGMT Total Quality Management 342 3 
MGMT345 MGMT Introduction to Management Science 345 3 
MGMT373 MGMT Employee Planning, Recruitment and Selection 373 3 
MGMT375 MGMT Employee and Labor Relations 375 3 
MGMT434 MGMT Strategic Philanthropy 434 3 
MGMT436 MGMT Current Topics in Organizational Behavior 436 3 
MGMT439 MGMT Strategic Management 439 3 
MGMT447 MGMT Compensation and Benefits Management 447 3 
MGMT450 MGMT Career Management 450 3 
MGMT452 MGMT Logistics and Supply Chain Management 452 3 
MGMT459 MGMT Project Management 459 3 
MGMT499 MGMT Management Internship 499 3 
MGMT532 MGMT Human Resource Management 532 3 
MGMT629 MGMT Advanced Management Systems 629 3 
MGMT635 MGMT Organizational Design and Change 635 3 
MGMT636 MGMT Organizational Behavior 636 3 
MKTG320 MKTG Principles of Marketing 320 3 
MKTG333 MKTG Sports Administration 333 3 
MKTG341 MKTG Marketing Research 341 3 
MKTG342 MKTG Consumer Behavior 342 3 
MKTG343 MKTG Personal Selling 343 3 
MKTG344 MKTG Marketing Promotion 344 3 
MKTG419 MKTG International Marketing 419 3 
MKTG432 MKTG Analytics 3: Data Mining 432 3 
MKTG495 MKTG Marketing Strategy 495 3 
MKTG499 MKTG Marketing Internship 499 3 
PHIL379 PHIL Philosophy, Religion and Science 379 3 
PHIL486 PHIL Ethics 486 3 
PHYS220 PHYS Engineering Physics I 220 3 
PHYS221 PHYS Engineering Physics I Laboratory 221 1 
PHYS222 PHYS Engineering Physics II 222 3 
PHYS223 PHYS Engineering Physics II Laboratory 223 1 
PHYS330 PHYS Modern Physics 330 3 
PHYS393 PHYS Introduction to Research 393 3 
PSYC120 PSYC Introduction to Psychology 120 3 
PSYC201 PSYC Psychology Seminar 201 1 
PSYC211 PSYC Human Dev & Lead in Community 211 3 
PSYC232 PSYC Developmental Psychology 232 3 
PSYC233 PSYC Physiological Psychology 233 3 
PSYC241 PSYC Cognition and Learning 241 3 
PSYC252 PSYC Mental Health 252 3 
PSYC278 PSYC Stress and Its Management 278 3 
PSYC301 PSYC Psychology Seminar II 301 1 
PSYC305 PSYC Peacemaking 305 3 
PSYC311 PSYC Elementary Statistics 311 3 
PSYC342 PSYC Applied Sports Psychology 342 3 
PSYC343 PSYC Selection & Perf. Appraisal 343 3 
PSYC345 PSYC Sexual Minorities: Ident & Com 345 3 
PSYC346 PSYC Freud and Jung 346 3 
PSYC348 PSYC Psychology and Christianity 348 3 
PSYC351 PSYC Experimental Psychology 351 4 
PSYC356 PSYC Health Psychology 356 3 
PSYC368 PSYC Psychological Tests and Measurements 368 3 
PSYC370 PSYC Social Psychology 370 3 
PSYC372 PSYC Child Abuse: Recogn & Response 372 3 
PSYC373 PSYC Character/Needs Except Children 373 3 
PSYC374 PSYC Abnormal Child Psychology 374 3 
PSYC375 PSYC Industrial & Organization Psyc 375 3 
PSYC376 PSYC Psych. of Mental Retardation 376 3 
PSYC382 PSYC Abnormal Psychology 382 3 
PSYC388 PSYC Teams & Team Leadership 388 3 
PSYC392 PSYC Child Psychology 392 3 
PSYC396 PSYC Issues of Emerging Adulthood 396 3 
PSYC401 PSYC Career and Calling 401 1 
PSYC451 PSYC Statistics in Psyc. Research 451 3 
PSYC471 PSYC Behavior Modification 471 3 
PSYC485 PSYC Introduction to Counseling 485 4 
PSYC493 PSYC History of Theories in Psychology 493 3 
SOCI111 SOCI Introduction to Sociology 111 3 
SOCI355 SOCI Social Deviance 355 3 
SOCI388 SOCI Crime and Delinquency 388 3 
SOCI415 SOCI Social Research 415 3 
SPAN221 SPAN Intermediate I 221 3 
SPAN222 SPAN Intermediate II 222 3 
SPEN221 SPEN Intermediate Spanish I 221 3 
SPEN222 SPEN Intermediate Spanish II 222 3 
THEA227 THEA Introduction to Technical Theatre 227 3 

Table: major
id title deptID reqtext hrs gpa 
CS Computer Science SITC Minimum grade of C in CS 120, CS 130, CS 230, IT 220, IT 221, MATH 227 128 2.0 
ART Interior Design ART Minimum grade of C in art and design courses 128 2.0 
EE Electrical Engineering ENGR Minimum grade for PHYS or ENGR courses, C 128 2.0 

Table: teachers
id firstname lastname departmentID adjunct 
1 Brian Burton SITC 0 
2 Brent Reeves SITC 0 
3 James Prather SITC 0 
4 John Homer SITC 0 
5 Arisoa Randrianasolo SITC 0 
6 Karen St. John SITC 0 
7 Rich Tanner SITC 0 
8 Geoff Broderick ART 0 
9 Ryan Feerer ART 0 
10 Kenneth Jones ART 0 
11 Kelly Mann ART 0 
12 Dan McGregor ART 0 
13 Ronnie Rama ART 0 
14 Nil Santana ART 0 
15 Trey Shirley ART 0 
16 Mike Wiggins ART 0 

Table: section
crn max room courseID term startdate enddate days 
10101 30 MBB101 CS120 Spring 2025 2025-01-15 2025-05-10 MWF 
10202 40 MBB202 CS130 Spring 2025 2025-01-16 2025-05-11 TR 
10303 25 MBB303 CS220 Summer 2025 2025-06-01 2025-08-10 MW 
10404 30 MBB110 CRIM205 Summer 2025 2025-06-05 2025-08-15 MW 
10505 35 MBB120 CRIM250 Fall 2025 2025-08-20 2025-12-10 TTh 
10606 40 MBB130 CRIM320 Fall 2025 2025-08-22 2025-12-12 MWF 
10707 25 MBB140 CRIM330 Fall 2025 2025-12-15 2026-01-30 MW 
10808 30 MBB150 CRIM365 Fall 2025 2025-12-20 2026-02-10 TR 
10909 35 MBB201 CS230 Spring 2025 2025-01-15 2025-05-10 MWF 
11001 25 MBB105 CS352 Spring 2025 2025-01-15 2025-05-10 TR 
11002 30 MBB215 CS374 Spring 2025 2025-01-15 2025-05-10 MWF 
11003 35 MBB118 IT220 Spring 2025 2025-01-15 2025-05-10 TR 
11004 35 MBB120 IT221 Spring 2025 2025-01-15 2025-05-10 MW 
11005 40 MBB125 MATH227 Spring 2025 2025-01-15 2025-05-10 MWF 
11006 25 MBB115 DET210 Spring 2025 2025-01-15 2025-05-10 TR 
11007 20 MBB116 DET220 Spring 2025 2025-01-15 2025-05-10 MWF 
11008 50 FOS110 BIOL121 Spring 2025 2025-01-15 2025-05-10 TR 
11009 25 FOS111 BIOL122 Spring 2025 2025-01-15 2025-05-10 M 
11010 40 COBA201 ACCT210 Spring 2025 2025-01-15 2025-05-10 MWF 
11011 25 MBB205 CS467 Summer 2025 2025-06-01 2025-08-10 MTWR 
11012 30 MBB206 CS315 Summer 2025 2025-06-01 2025-08-10 MTWR 
11013 35 MBB127 MATH185 Summer 2025 2025-06-01 2025-08-10 MTWR 
11014 35 MBB128 MATH186 Summer 2025 2025-06-01 2025-08-10 MTWR 
11015 40 FOS120 CHEM133 Summer 2025 2025-06-01 2025-08-10 MTWR 
11016 20 FOS121 CHEM131 Summer 2025 2025-06-01 2025-08-10 TR 
11017 40 COBA202 MGMT320 Summer 2025 2025-06-01 2025-08-10 MTWR 
